"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
43, -4.400000000000009e+01, -5.000000000000000e+01, 7.193307417263421e-02, 1.438661483452684e-01, 7.162692946277835e-07, 0.000000000000000e+00, 0.000000000000000e+00
44, -4.383333333333341e+01, -5.000000000000000e+01, 7.494059471657963e-02, 1.498811894331592e-01, 7.598547301339368e-07, 0.000000000000000e+00, 0.000000000000000e+00
45, -4.366666666666676e+01, -5.000000000000000e+01, 7.729891137786507e-02, 1.545978227557301e-01, 7.883494800421217e-07, 0.000000000000000e+00, 0.000000000000000e+00
46, -4.350000000000009e+01, -5.000000000000000e+01, 7.970191989947709e-02, 1.594038397989541e-01, 9.184152730060180e-07, 0.000000000000000e+00, 0.000000000000000e+00
47, -4.333333333333343e+01, -5.000000000000000e+01, 8.152805375769644e-02, 1.630561075153928e-01, 9.950278596018033e-07, 0.000000000000000e+00, 0.000000000000000e+00
48, -4.316666666666676e+01, -5.000000000000000e+01, 8.335074902664810e-02, 1.667014980532962e-01, 1.077636870452429e-06, 0.000000000000000e+00, 0.000000000000000e+00
49, -4.300000000000010e+01, -5.000000000000000e+01, 8.467873302207445e-02, 1.693574660441489e-01, 1.062514155873510e-06, 0.000000000000000e+00, 0.000000000000000e+00
50, -4.283333333333344e+01, -5.000000000000000e+01, 8.703198775926112e-02, 1.740639755185222e-01, 1.096789176378949e-06, 0.000000000000000e+00, 0.000000000000000e+00
51, -4.266666666666677e+01, -5.000000000000000e+01, 8.953262729974780e-02, 1.790652545994956e-01, 1.154019384918530e-06, 0.000000000000000e+00, 0.000000000000000e+00
52, -4.250000000000011e+01, -5.000000000000000e+01, 9.191654659023094e-02, 1.838330931804618e-01, 1.218230842077790e-06, 0.000000000000000e+00, 0.000000000000000e+00
53, -4.233333333333344e+01, -5.000000000000000e+01, 9.449267698786341e-02, 1.889853539757268e-01, 1.261343780114548e-06, 0.000000000000000e+00, 0.000000000000000e+00
54, -4.216666666666677e+01, -5.000000000000000e+01, 9.624826085289651e-02, 1.924965217057930e-01, 1.266644613570221e-06, 0.000000000000000e+00, 0.000000000000000e+00
55, -4.200000000000011e+01, -5.000000000000000e+01, 9.756488836617780e-02, 1.951297767323555e-01, 1.250450495600203e-06, 0.000000000000000e+00, 0.000000000000000e+00
56, -4.183333333333345e+01, -5.000000000000000e+01, 9.914646119918481e-02, 1.982929223983696e-01, 1.312166348338608e-06, 0.000000000000000e+00, 0.000000000000000e+00
57, -4.166666666666679e+01, -5.000000000000000e+01, 1.003011873278273e-01, 2.006023746556546e-01, 1.334448880191443e-06, 0.000000000000000e+00, 0.000000000000000e+00
58, -4.150000000000012e+01, -5.000000000000000e+01, 1.014128153886371e-01, 2.028256307772741e-01, 1.391011938625297e-06, 0.000000000000000e+00, 0.000000000000000e+00
59, -4.133333333333346e+01, -5.000000000000000e+01, 1.023346824313036e-01, 2.046693648626071e-01, 1.360879895490566e-06, 0.000000000000000e+00, 0.000000000000000e+00
60, -4.116666666666680e+01, -5.000000000000000e+01, 1.043025295373835e-01, 2.086050590747670e-01, 1.339564972658274e-06, 0.000000000000000e+00, 0.000000000000000e+00
61, -4.100000000000013e+01, -5.000000000000000e+01, 1.068311485180632e-01, 2.136622970361264e-01, 1.370259993507170e-06, 0.000000000000000e+00, 0.000000000000000e+00
62, -4.083333333333346e+01, -5.000000000000000e+01, 1.096056438494940e-01, 2.192112876989879e-01, 1.430269311501876e-06, 0.000000000000000e+00, 0.000000000000000e+00
63, -4.066666666666680e+01, -5.000000000000000e+01, 1.120927266625340e-01, 2.241854533250680e-01, 1.483648155949983e-06, 0.000000000000000e+00, 0.000000000000000e+00
64, -4.050000000000013e+01, -5.000000000000000e+01, 1.136183824854511e-01, 2.272367649709021e-01, 1.542251613852464e-06, 0.000000000000000e+00, 0.000000000000000e+00
65, -4.033333333333347e+01, -5.000000000000000e+01, 1.143349643385379e-01, 2.286699286770757e-01, 1.561331850800692e-06, 0.000000000000000e+00, 0.000000000000000e+00
66, -4.016666666666681e+01, -5.000000000000000e+01, 1.157665308597976e-01, 2.315330617195951e-01, 1.561832387239486e-06, 0.000000000000000e+00, 0.000000000000000e+00
67, -4.000000000000014e+01, -5.000000000000000e+01, 1.179236198603671e-01, 2.358472397207341e-01, 1.673476483089105e-06, 0.000000000000000e+00, 0.000000000000000e+00
68, -3.983333333333348e+01, -5.000000000000000e+01, 1.192211987807079e-01, 2.384423975614157e-01, 1.804335216955531e-06, 0.000000000000000e+00, 0.000000000000000e+00
69, -3.966666666666681e+01, -5.000000000000000e+01, 1.194893477224509e-01, 2.389786954449017e-01, 1.811888640668269e-06, 0.000000000000000e+00, 0.000000000000000e+00
70, -3.950000000000015e+01, -5.000000000000000e+01, 1.204497355975609e-01, 2.408994711951218e-01, 1.792520976324952e-06, 0.000000000000000e+00, 0.000000000000000e+00
71, -3.933333333333348e+01, -5.000000000000000e+01, 1.217352658201047e-01, 2.434705316402094e-01, 1.798866761997201e-06, 0.000000000000000e+00, 0.000000000000000e+00
72, -3.916666666666682e+01, -5.000000000000000e+01, 1.233700458533688e-01, 2.467400917067375e-01, 1.848247791459924e-06, 0.000000000000000e+00, 0.000000000000000e+00
73, -3.900000000000016e+01, -5.000000000000000e+01, 1.247824181011226e-01, 2.495648362022451e-01, 1.923534731225583e-06, 0.000000000000000e+00, 0.000000000000000e+00
74, -3.883333333333349e+01, -5.000000000000000e+01, 1.254568190993227e-01, 2.509136381986454e-01, 1.979429987516857e-06, 0.000000000000000e+00, 0.000000000000000e+00
75, -3.866666666666683e+01, -5.000000000000000e+01, 1.254814352078802e-01, 2.509628704157604e-01, 1.950071876279320e-06, 0.000000000000000e+00, 0.000000000000000e+00
76, -3.850000000000016e+01, -5.000000000000000e+01, 1.260747763853392e-01, 2.521495527706783e-01, 1.852112146476028e-06, 0.000000000000000e+00, 0.000000000000000e+00
77, -3.833333333333350e+01, -5.000000000000000e+01, 1.275583070757122e-01, 2.551166141514243e-01, 1.807334608485307e-06, 0.000000000000000e+00, 0.000000000000000e+00
78, -3.816666666666683e+01, -5.000000000000000e+01, 1.299583065697708e-01, 2.599166131395415e-01, 1.867523618885149e-06, 0.000000000000000e+00, 0.000000000000000e+00
79, -3.800000000000017e+01, -5.000000000000000e+01, 1.320612910362321e-01, 2.641225820724641e-01, 1.965224312447951e-06, 0.000000000000000e+00, 0.000000000000000e+00
80, -3.783333333333351e+01, -5.000000000000000e+01, 1.330436872641928e-01, 2.660873745283855e-01, 2.054637720164375e-06, 0.000000000000000e+00, 0.000000000000000e+00
81, -3.766666666666684e+01, -5.000000000000000e+01, 1.332374096704003e-01, 2.664748193408006e-01, 2.103784189369326e-06, 0.000000000000000e+00, 0.000000000000000e+00
82, -3.750000000000018e+01, -5.000000000000000e+01, 1.343384887494371e-01, 2.686769774988741e-01, 2.127387951182225e-06, 0.000000000000000e+00, 0.000000000000000e+00
83, -3.733333333333351e+01, -5.000000000000000e+01, 1.364083736591303e-01, 2.728167473182606e-01, 2.180800728930415e-06, 0.000000000000000e+00, 0.000000000000000e+00
84, -3.716666666666685e+01, -5.000000000000000e+01, 1.374042404693710e-01, 2.748084809387420e-01, 2.254715546600724e-06, 0.000000000000000e+00, 0.000000000000000e+00
85, -3.700000000000018e+01, -5.000000000000000e+01, 1.377662670239092e-01, 2.755325340478183e-01, 2.252464001554711e-06, 0.000000000000000e+00, 0.000000000000000e+00
86, -3.683333333333352e+01, -5.000000000000000e+01, 1.388355400508330e-01, 2.776710801016659e-01, 2.211311803865453e-06, 0.000000000000000e+00, 0.000000000000000e+00
87, -3.666666666666686e+01, -5.000000000000000e+01, 1.397245271064500e-01, 2.794490542129000e-01, 2.247113331709780e-06, 0.000000000000000e+00, 0.000000000000000e+00
88, -3.650000000000019e+01, -5.000000000000000e+01, 1.408438881108134e-01, 2.816877762216267e-01, 2.361337567150496e-06, 0.000000000000000e+00, 0.000000000000000e+00
89, -3.633333333333353e+01, -5.000000000000000e+01, 1.416552018887132e-01, 2.833104037774263e-01, 2.428862158671261e-06, 0.000000000000000e+00, 0.000000000000000e+00
90, -3.616666666666686e+01, -5.000000000000000e+01, 1.413732914845377e-01, 2.827465829690753e-01, 2.374893835654844e-06, 0.000000000000000e+00, 0.000000000000000e+00
91, -3.600000000000020e+01, -5.000000000000000e+01, 1.418010018700658e-01, 2.836020037401316e-01, 2.305035171481386e-06, 0.000000000000000e+00, 0.000000000000000e+00
92, -3.583333333333353e+01, -5.000000000000000e+01, 1.430165921836059e-01, 2.860331843672116e-01, 2.297598672451120e-06, 0.000000000000000e+00, 0.000000000000000e+00
93, -3.566666666666687e+01, -5.000000000000000e+01, 1.443197051175167e-01, 2.886394102350333e-01, 2.395117357738242e-06, 0.000000000000000e+00, 0.000000000000000e+00
94, -3.550000000000021e+01, -5.000000000000000e+01, 1.450149365210448e-01, 2.900298730420895e-01, 2.489066210872768e-06, 0.000000000000000e+00, 0.000000000000000e+00
95, -3.533333333333354e+01, -5.000000000000000e+01, 1.447609640334049e-01, 2.895219280668098e-01, 2.473917280948334e-06, 0.000000000000000e+00, 0.000000000000000e+00
96, -3.516666666666688e+01, -5.000000000000000e+01, 1.451436931270740e-01, 2.902873862541480e-01, 2.397610188124536e-06, 0.000000000000000e+00, 0.000000000000000e+00
97, -3.500000000000021e+01, -5.000000000000000e+01, 1.461498025193056e-01, 2.922996050386112e-01, 2.387444733642982e-06, 0.000000000000000e+00, 0.000000000000000e+00
98, -3.483333333333355e+01, -5.000000000000000e+01, 1.471615513266274e-01, 2.943231026532548e-01, 2.521709910836322e-06, 0.000000000000000e+00, 0.000000000000000e+00
99, -3.466666666666688e+01, -5.000000000000000e+01, 1.476028464547867e-01, 2.952056929095734e-01, 2.662919632029284e-06, 0.000000000000000e+00, 0.000000000000000e+00
100, -3.450000000000022e+01, -5.000000000000000e+01, 1.469586642595657e-01, 2.939173285191314e-01, 2.648217635990606e-06, 0.000000000000000e+00, 0.000000000000000e+00
101, -3.433333333333356e+01, -5.000000000000000e+01, 1.467287244671137e-01, 2.934574489342273e-01, 2.611650535637344e-06, 0.000000000000000e+00, 0.000000000000000e+00
102, -3.416666666666689e+01, -5.000000000000000e+01, 1.476296915698506e-01, 2.952593831397012e-01, 2.648894832122189e-06, 0.000000000000000e+00, 0.000000000000000e+00
103, -3.400000000000023e+01, -5.000000000000000e+01, 1.492068554256060e-01, 2.984137108512119e-01, 2.718783548344582e-06, 0.000000000000000e+00, 0.000000000000000e+00
104, -3.383333333333356e+01, -5.000000000000000e+01, 1.496650205989217e-01, 2.993300411978433e-01, 2.778120434612556e-06, 0.000000000000000e+00, 0.000000000000000e+00
105, -3.366666666666690e+01, -5.000000000000000e+01, 1.498359721631456e-01, 2.996719443262911e-01, 2.804611297387138e-06, 0.000000000000000e+00, 0.000000000000000e+00
106, -3.350000000000023e+01, -5.000000000000000e+01, 1.501873342050974e-01, 3.003746684101947e-01, 2.720098417064040e-06, 0.000000000000000e+00, 0.000000000000000e+00
107, -3.333333333333357e+01, -5.000000000000000e+01, 1.504033615378451e-01, 3.008067230756902e-01, 2.650157457050058e-06, 0.000000000000000e+00, 0.000000000000000e+00
108, -3.316666666666691e+01, -5.000000000000000e+01, 1.510266154265928e-01, 3.020532308531855e-01, 2.682694778165002e-06, 0.000000000000000e+00, 0.000000000000000e+00
109, -3.300000000000024e+01, -5.000000000000000e+01, 1.515788971361492e-01, 3.031577942722983e-01, 2.770245259261251e-06, 0.000000000000000e+00, 0.000000000000000e+00
110, -3.283333333333358e+01, -5.000000000000000e+01, 1.513560000786195e-01, 3.027120001572390e-01, 2.899332644805560e-06, 0.000000000000000e+00, 0.000000000000000e+00
111, -3.266666666666691e+01, -5.000000000000000e+01, 1.509953148804541e-01, 3.019906297609082e-01, 2.926801388031965e-06, 0.000000000000000e+00, 0.000000000000000e+00
112, -3.250000000000025e+01, -5.000000000000000e+01, 1.509012316764066e-01, 3.018024633528131e-01, 2.811703405775290e-06, 0.000000000000000e+00, 0.000000000000000e+00
113, -3.233333333333358e+01, -5.000000000000000e+01, 1.516081849895739e-01, 3.032163699791478e-01, 2.768774738492281e-06, 0.000000000000000e+00, 0.000000000000000e+00
114, -3.216666666666692e+01, -5.000000000000000e+01, 1.519736086798667e-01, 3.039472173597333e-01, 2.792262165705906e-06, 0.000000000000000e+00, 0.000000000000000e+00
115, -3.200000000000026e+01, -5.000000000000000e+01, 1.516937949047935e-01, 3.033875898095870e-01, 2.746688518360788e-06, 0.000000000000000e+00, 0.000000000000000e+00
116, -3.183333333333359e+01, -5.000000000000000e+01, 1.518424525663396e-01, 3.036849051326792e-01, 2.616925585257006e-06, 0.000000000000000e+00, 0.000000000000000e+00
117, -3.166666666666692e+01, -5.000000000000000e+01, 1.526348119373520e-01, 3.052696238747039e-01, 2.575994479345019e-06, 0.000000000000000e+00, 0.000000000000000e+00
118, -3.150000000000025e+01, -5.000000000000000e+01, 1.543315449120599e-01, 3.086630898241197e-01, 2.659049165802479e-06, 0.000000000000000e+00, 0.000000000000000e+00
119, -3.133333333333358e+01, -5.000000000000000e+01, 1.555622026681316e-01, 3.111244053362631e-01, 2.796003522449211e-06, 0.000000000000000e+00, 0.000000000000000e+00
120, -3.116666666666692e+01, -5.000000000000000e+01, 1.557650195476304e-01, 3.115300390952608e-01, 2.919627135542122e-06, 0.000000000000000e+00, 0.000000000000000e+00
121, -3.100000000000025e+01, -5.000000000000000e+01, 1.553448928103224e-01, 3.106897856206448e-01, 2.964602495565563e-06, 0.000000000000000e+00, 0.000000000000000e+00
122, -3.083333333333358e+01, -5.000000000000000e+01, 1.557502324684331e-01, 3.115004649368662e-01, 3.015324036509458e-06, 0.000000000000000e+00, 0.000000000000000e+00
123, -3.066666666666691e+01, -5.000000000000000e+01, 1.565543793347210e-01, 3.131087586694419e-01, 3.065980256153243e-06, 0.000000000000000e+00, 0.000000000000000e+00
124, -3.050000000000025e+01, -5.000000000000000e+01, 1.562550891529784e-01, 3.125101783059568e-01, 3.110715871178160e-06, 0.000000000000000e+00, 0.000000000000000e+00
125, -3.033333333333358e+01, -5.000000000000000e+01, 1.558901556238626e-01, 3.117803112477251e-01, 3.043230528082842e-06, 0.000000000000000e+00, 0.000000000000000e+00
126, -3.016666666666691e+01, -5.000000000000000e+01, 1.560266458044710e-01, 3.120532916089420e-01, 2.875551730273448e-06, 0.000000000000000e+00, 0.000000000000000e+00
127, -3.000000000000024e+01, -5.000000000000000e+01, 1.566618895736114e-01, 3.133237791472227e-01, 2.844265483901384e-06, 0.000000000000000e+00, 0.000000000000000e+00
128, -2.983333333333357e+01, -5.000000000000000e+01, 1.577064687367734e-01, 3.154129374735468e-01, 2.937552580417267e-06, 0.000000000000000e+00, 0.000000000000000e+00
129, -2.966666666666691e+01, -5.000000000000000e+01, 1.584399622697036e-01, 3.168799245394072e-01, 3.079257057551364e-06, 0.000000000000000e+00, 0.000000000000000e+00
130, -2.950000000000024e+01, -5.000000000000000e+01, 1.582586780797913e-01, 3.165173561595826e-01, 3.215983352807981e-06, 0.000000000000000e+00, 0.000000000000000e+00
131, -2.933333333333357e+01, -5.000000000000000e+01, 1.579736420869108e-01, 3.159472841738215e-01, 3.236441444798824e-06, 0.000000000000000e+00, 0.000000000000000e+00
132, -2.916666666666690e+01, -5.000000000000000e+01, 1.584061037959056e-01, 3.168122075918111e-01, 3.246080750699836e-06, 0.000000000000000e+00, 0.000000000000000e+00
133, -2.900000000000023e+01, -5.000000000000000e+01, 1.593771976592854e-01, 3.187543953185707e-01, 3.329745513154010e-06, 0.000000000000000e+00, 0.000000000000000e+00
134, -2.883333333333357e+01, -5.000000000000000e+01, 1.595139246612410e-01, 3.190278493224820e-01, 3.377177991936181e-06, 0.000000000000000e+00, 0.000000000000000e+00
135, -2.866666666666690e+01, -5.000000000000000e+01, 1.588592195157076e-01, 3.177184390314152e-01, 3.296509445508789e-06, 0.000000000000000e+00, 0.000000000000000e+00
136, -2.850000000000023e+01, -5.000000000000000e+01, 1.586327206484285e-01, 3.172654412968569e-01, 3.137277669089091e-06, 0.000000000000000e+00, 0.000000000000000e+00
137, -2.833333333333356e+01, -5.000000000000000e+01, 1.589047011427900e-01, 3.178094022855800e-01, 3.074284222258591e-06, 0.000000000000000e+00, 0.000000000000000e+00
138, -2.816666666666690e+01, -5.000000000000000e+01, 1.594392901839588e-01, 3.188785803679175e-01, 3.133263096968272e-06, 0.000000000000000e+00, 0.000000000000000e+00
139, -2.800000000000023e+01, -5.000000000000000e+01, 1.596723850549101e-01, 3.193447701098202e-01, 3.270584091081446e-06, 0.000000000000000e+00, 0.000000000000000e+00
140, -2.783333333333356e+01, -5.000000000000000e+01, 1.593057546422922e-01, 3.186115092845844e-01, 3.380913975395677e-06, 0.000000000000000e+00, 0.000000000000000e+00
141, -2.766666666666689e+01, -5.000000000000000e+01, 1.585323577919054e-01, 3.170647155838107e-01, 3.393294362156484e-06, 0.000000000000000e+00, 0.000000000000000e+00
142, -2.750000000000022e+01, -5.000000000000000e+01, 1.586768617910655e-01, 3.173537235821309e-01, 3.408470482029450e-06, 0.000000000000000e+00, 0.000000000000000e+00
143, -2.733333333333356e+01, -5.000000000000000e+01, 1.592854879008504e-01, 3.185709758017008e-01, 3.477233594577444e-06, 0.000000000000000e+00, 0.000000000000000e+00
144, -2.716666666666689e+01, -5.000000000000000e+01, 1.591596594470841e-01, 3.183193188941681e-01, 3.570146448866395e-06, 0.000000000000000e+00, 0.000000000000000e+00
145, -2.700000000000022e+01, -5.000000000000000e+01, 1.586426862590667e-01, 3.172853725181333e-01, 3.476967631537105e-06, 0.000000000000000e+00, 0.000000000000000e+00
146, -2.683333333333355e+01, -5.000000000000000e+01, 1.581498082091958e-01, 3.162996164183915e-01, 3.209493951901788e-06, 0.000000000000000e+00, 0.000000000000000e+00
147, -2.666666666666688e+01, -5.000000000000000e+01, 1.578694148271231e-01, 3.157388296542462e-01, 3.103421225947430e-06, 0.000000000000000e+00, 0.000000000000000e+00
148, -2.650000000000022e+01, -5.000000000000000e+01, 1.586886829479992e-01, 3.173773658959983e-01, 3.190591431651054e-06, 0.000000000000000e+00, 0.000000000000000e+00
149, -2.633333333333355e+01, -5.000000000000000e+01, 1.594079491576667e-01, 3.188158983153333e-01, 3.345684951730170e-06, 0.000000000000000e+00, 0.000000000000000e+00
150, -2.616666666666688e+01, -5.000000000000000e+01, 1.592018996614945e-01, 3.184037993229890e-01, 3.492693864621510e-06, 0.000000000000000e+00, 0.000000000000000e+00
151, -2.600000000000021e+01, -5.000000000000000e+01, 1.587980755987628e-01, 3.175961511975255e-01, 3.504016681964629e-06, 0.000000000000000e+00, 0.000000000000000e+00
152, -2.583333333333355e+01, -5.000000000000000e+01, 1.589808257958119e-01, 3.179616515916237e-01, 3.504701798093556e-06, 0.000000000000000e+00, 0.000000000000000e+00
153, -2.566666666666688e+01, -5.000000000000000e+01, 1.598863057658569e-01, 3.197726115317138e-01, 3.591973925739721e-06, 0.000000000000000e+00, 0.000000000000000e+00
154, -2.550000000000021e+01, -5.000000000000000e+01, 1.601083682007885e-01, 3.202167364015769e-01, 3.635202968252715e-06, 0.000000000000000e+00, 0.000000000000000e+00
155, -2.533333333333354e+01, -5.000000000000000e+01, 1.595778023451800e-01, 3.191556046903599e-01, 3.544640804556351e-06, 0.000000000000000e+00, 0.000000000000000e+00
156, -2.516666666666687e+01, -5.000000000000000e+01, 1.596715716653366e-01, 3.193431433306731e-01, 3.400185284820814e-06, 0.000000000000000e+00, 0.000000000000000e+00
157, -2.500000000000020e+01, -5.000000000000000e+01, 1.602500829284409e-01, 3.205001658568817e-01, 3.379609275960048e-06, 0.000000000000000e+00, 0.000000000000000e+00
158, -2.483333333333354e+01, -5.000000000000000e+01, 1.610777911896485e-01, 3.221555823792969e-01, 3.483212722712197e-06, 0.000000000000000e+00, 0.000000000000000e+00
159, -2.466666666666687e+01, -5.000000000000000e+01, 1.613929467546082e-01, 3.227858935092164e-01, 3.615768105625262e-06, 0.000000000000000e+00, 0.000000000000000e+00
160, -2.450000000000020e+01, -5.000000000000000e+01, 1.609712967624320e-01, 3.219425935248640e-01, 3.678322886394277e-06, 0.000000000000000e+00, 0.000000000000000e+00
161, -2.433333333333353e+01, -5.000000000000000e+01, 1.603778075076903e-01, 3.207556150153806e-01, 3.704948809367458e-06, 0.000000000000000e+00, 0.000000000000000e+00
162, -2.416666666666686e+01, -5.000000000000000e+01, 1.612040935974356e-01, 3.224081871948712e-01, 3.805560330227679e-06, 0.000000000000000e+00, 0.000000000000000e+00
163, -2.400000000000020e+01, -5.000000000000000e+01, 1.622606407200981e-01, 3.245212814401962e-01, 3.932390901632123e-06, 0.000000000000000e+00, 0.000000000000000e+00
164, -2.383333333333353e+01, -5.000000000000000e+01, 1.621624703915004e-01, 3.243249407830008e-01, 4.040506045753468e-06, 0.000000000000000e+00, 0.000000000000000e+00
165, -2.366666666666686e+01, -5.000000000000000e+01, 1.616474178781113e-01, 3.232948357562225e-01, 3.940145392600563e-06, 0.000000000000000e+00, 0.000000000000000e+00
166, -2.350000000000020e+01, -5.000000000000000e+01, 1.612969914845977e-01, 3.225939829691954e-01, 3.689569852120154e-06, 0.000000000000000e+00, 0.000000000000000e+00
